"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2010-03-06 13:00","목동","LG",3,2,"넥센","승","패","시범경기"
"2010-03-06 13:00","문학","두산",5,0,"SK","승","패","시범경기"
"2010-03-06 13:00","대전","롯데",12,1,"한화","승","패","시범경기"
"2010-03-06 13:00","무등","삼성",4,1,"기아","승","패","시범경기"
"2010-03-07 13:00","목동","LG",1,2,"넥센","패","승","시범경기"
"2010-03-07 13:00","문학","두산",3,4,"SK","패","승","시범경기"
"2010-03-07 13:00","대전","롯데",4,1,"한화","승","패","시범경기"
"2010-03-07 13:00","무등","삼성",2,5,"기아","패","승","시범경기"
"2010-03-09 13:00","목동","두산",2,6,"넥센","패","승","시범경기"
"2010-03-09 13:00","문학","LG",3,1,"SK","승","패","시범경기"
"2010-03-09 13:00","대전","기아",9,3,"한화","승","패","시범경기"
"2010-03-09 13:00","대구","롯데",5,3,"삼성","승","패","시범경기"
"2010-03-11 13:00","대전","두산",6,3,"한화","승","패","시범경기"
"2010-03-11 13:00","대구","LG",0,4,"삼성","패","승","시범경기"
"2010-03-11 13:00","무등","넥센",4,2,"기아","승","패","시범경기"
"2010-03-12 13:00","문학","롯데",2,1,"SK","승","패","시범경기"
"2010-03-12 13:00","대전","두산",4,8,"한화","패","승","시범경기"
"2010-03-12 13:00","대구","LG",2,9,"삼성","패","승","시범경기"
"2010-03-12 13:00","무등","넥센",2,4,"기아","패","승","시범경기"
"2010-03-13 13:00","잠실","LG",9,5,"두산","승","패","시범경기"
"2010-03-13 13:00","문학","넥센",7,9,"SK","패","승","시범경기"
"2010-03-13 13:00","대구","한화",6,5,"삼성","승","패","시범경기"
"2010-03-13 13:00","무등","롯데",8,6,"기아","승","패","시범경기"
"2010-03-14 13:00","잠실","LG",8,9,"두산","패","승","시범경기"
"2010-03-14 13:00","문학","넥센",3,1,"SK","승","패","시범경기"
"2010-03-14 13:00","대구","한화",3,4,"삼성","패","승","시범경기"
"2010-03-14 13:00","무등","롯데",1,2,"기아","패","승","시범경기"
"2010-03-16 13:00","잠실","삼성",5,6,"두산","패","승","시범경기"
"2010-03-16 13:00","대전","넥센",11,6,"한화","승","패","시범경기"
"2010-03-16 13:00","사직","LG",3,5,"롯데","패","승","시범경기"
"2010-03-16 13:00","무등","SK",4,2,"기아","승","패","시범경기"
"2010-03-17 13:00","잠실","삼성",4,1,"두산","승","패","시범경기"
"2010-03-17 13:00","사직","LG",2,11,"롯데","패","승","시범경기"
"2010-03-17 13:00","무등","SK",10,9,"기아","승","패","시범경기"
"2010-03-18 13:00","대구","SK",3,0,"삼성","승","패","시범경기"
"2010-03-18 13:00","사직","넥센",3,5,"롯데","패","승","시범경기"
"2010-03-18 13:00","무등","두산",6,7,"기아","패","승","시범경기"
"2010-03-19 13:00","잠실","한화",9,10,"LG","패","승","시범경기"
"2010-03-19 13:00","대구","SK",6,14,"삼성","패","승","시범경기"
"2010-03-19 13:00","사직","넥센",0,7,"롯데","패","승","시범경기"
"2010-03-19 13:00","무등","두산",8,7,"기아","승","패","시범경기"
"2010-03-20 13:00","대구","넥센",3,5,"삼성","패","승","시범경기"
"2010-03-20 13:00","사직","두산",5,3,"롯데","승","패","시범경기"
"2010-03-21 13:00","잠실","기아",7,2,"LG","승","패","시범경기"
"2010-03-21 13:00","문학","한화",4,3,"SK","승","패","시범경기"
"2010-03-21 13:00","대구","넥센",4,6,"삼성","패","승","시범경기"
"2010-03-21 13:00","사직","두산",6,7,"롯데","패","승","시범경기"
"2010-03-27 14:00","잠실","기아",3,8,"두산","패","승","정규시즌"
"2010-03-27 14:00","문학","한화",2,3,"SK","패","승","정규시즌"
"2010-03-27 14:00","대구","LG",7,5,"삼성","승","패","정규시즌"
"2010-03-27 14:00","사직","넥센",3,2,"롯데","승","패","정규시즌"
"2010-03-28 14:00","문학","한화",3,6,"SK","패","승","정규시즌"
"2010-03-28 14:00","대구","LG",4,9,"삼성","패","승","정규시즌"
"2010-03-28 14:00","사직","넥센",11,3,"롯데","승","패","정규시즌"
"2010-03-28 14:15","잠실","기아",9,10,"두산","패","승","정규시즌"
"2010-03-30 18:30","잠실","SK",3,0,"LG","승","패","정규시즌"
"2010-03-30 18:30","목동","두산",7,2,"넥센","승","패","정규시즌"
"2010-03-30 18:30","대전","롯데",3,13,"한화","패","승","정규시즌"
"2010-03-30 18:30","무등","삼성",6,1,"기아","승","패","정규시즌"
"2010-03-31 18:30","무등","삼성",2,4,"기아","패","승","정규시즌"
"2010-04-02 18:30","잠실","넥센",14,5,"LG","승","패","정규시즌"
"2010-04-02 18:30","문학","두산",10,3,"SK","승","패","정규시즌"
"2010-04-02 18:30","대전","삼성",8,1,"한화","승","패","정규시즌"
"2010-04-02 18:30","무등","롯데",2,3,"기아","패","승","정규시즌"
"2010-04-03 13:50","무등","롯데",2,4,"기아","패","승","정규시즌"
"2010-04-03 17:00","잠실","넥센",4,5,"LG","패","승","정규시즌"
"2010-04-03 17:00","문학","두산",5,6,"SK","패","승","정규시즌"
"2010-04-03 17:00","대전","삼성",9,11,"한화","패","승","정규시즌"
"2010-04-04 16:35","문학","두산",8,0,"SK","승","패","정규시즌"
"2010-04-04 17:00","잠실","넥센",5,0,"LG","승","패","정규시즌"
"2010-04-04 17:00","대전","삼성",2,1,"한화","승","패","정규시즌"
"2010-04-04 17:00","무등","롯데",3,2,"기아","승","패","정규시즌"
"2010-04-06 18:30","잠실","한화",2,3,"두산","패","승","정규시즌"
"2010-04-06 18:30","문학","기아",3,1,"SK","승","패","정규시즌"
"2010-04-06 18:30","대구","넥센",3,7,"삼성","패","승","정규시즌"
"2010-04-06 18:30","사직","LG",5,7,"롯데","패","승","정규시즌"
"2010-04-07 18:30","잠실","한화",2,8,"두산","패","승","정규시즌"
"2010-04-07 18:30","문학","기아",5,3,"SK","승","패","정규시즌"
"2010-04-07 18:30","대구","넥센",1,3,"삼성","패","승","정규시즌"
"2010-04-07 18:30","사직","LG",0,6,"롯데","패","승","정규시즌"
"2010-04-08 18:30","잠실","한화",4,5,"두산","패","승","정규시즌"
"2010-04-08 18:30","문학","기아",2,5,"SK","패","승","정규시즌"
"2010-04-08 18:30","대구","넥센",6,7,"삼성","패","승","정규시즌"
"2010-04-08 18:30","사직","LG",10,2,"롯데","승","패","정규시즌"
"2010-04-09 18:30","잠실","LG",7,7,"두산","무","무","정규시즌"
"2010-04-09 18:30","목동","SK",4,1,"넥센","승","패","정규시즌"
"2010-04-09 18:30","대구","기아",5,6,"삼성","패","승","정규시즌"
"2010-04-09 18:30","사직","한화",15,14,"롯데","승","패","정규시즌"
"2010-04-10 17:00","잠실","LG",2,3,"두산","패","승","정규시즌"
"2010-04-10 17:00","목동","SK",7,2,"넥센","승","패","정규시즌"
"2010-04-10 17:00","대구","기아",1,3,"삼성","패","승","정규시즌"
"2010-04-10 17:00","사직","한화",9,2,"롯데","승","패","정규시즌"
"2010-04-11 14:00","대구","기아",3,2,"삼성","승","패","정규시즌"
"2010-04-11 14:00","사직","한화",9,10,"롯데","패","승","정규시즌"
"2010-04-11 17:00","잠실","LG",8,5,"두산","승","패","정규시즌"
"2010-04-11 17:00","목동","SK",10,1,"넥센","승","패","정규시즌"
"2010-04-13 18:30","잠실","삼성",6,0,"LG","승","패","정규시즌"
"2010-04-13 18:30","목동","롯데",9,0,"넥센","승","패","정규시즌"
"2010-04-13 18:30","대전","SK",1,2,"한화","패","승","정규시즌"
"2010-04-13 18:30","무등","두산",9,8,"기아","승","패","정규시즌"
"2010-04-14 18:30","잠실","삼성",4,5,"LG","패","승","정규시즌"
"2010-04-14 18:30","목동","롯데",5,6,"넥센","패","승","정규시즌"
"2010-04-14 18:30","대전","SK",6,1,"한화","승","패","정규시즌"
"2010-04-15 18:30","잠실","삼성",0,4,"LG","패","승","정규시즌"
"2010-04-15 18:30","목동","롯데",6,0,"넥센","승","패","정규시즌"
"2010-04-15 18:30","대전","SK",10,3,"한화","승","패","정규시즌"
"2010-04-15 18:30","무등","두산",3,4,"기아","패","승","정규시즌"
"2010-04-16 18:30","잠실","롯데",4,6,"두산","패","승","정규시즌"
"2010-04-16 18:30","문학","삼성",2,7,"SK","패","승","정규시즌"
"2010-04-16 18:30","무등","LG",8,4,"기아","승","패","정규시즌"
"2010-04-16 18:30","청주","넥센",4,5,"한화","패","승","정규시즌"
"2010-04-17 17:00","잠실","롯데",3,4,"두산","패","승","정규시즌"
"2010-04-17 17:00","문학","삼성",3,4,"SK","패","승","정규시즌"
"2010-04-17 17:00","무등","LG",13,4,"기아","승","패","정규시즌"
"2010-04-17 17:00","청주","넥센",0,6,"한화","패","승","정규시즌"
"2010-04-18 17:00","잠실","롯데",9,5,"두산","승","패","정규시즌"
"2010-04-18 17:00","문학","삼성",1,12,"SK","패","승","정규시즌"
"2010-04-18 17:00","청주","넥센",15,0,"한화","승","패","정규시즌"
"2010-04-20 18:30","잠실","SK",3,2,"두산","승","패","정규시즌"
"2010-04-20 18:30","목동","LG",6,2,"넥센","승","패","정규시즌"
"2010-04-20 18:30","대구","한화",3,16,"삼성","패","승","정규시즌"
"2010-04-20 18:30","사직","기아",10,3,"롯데","승","패","정규시즌"
"2010-04-21 18:30","대구","한화",3,8,"삼성","패","승","정규시즌"
"2010-04-21 18:30","사직","기아",9,6,"롯데","승","패","정규시즌"
"2010-04-22 18:30","잠실","SK",9,6,"두산","승","패","정규시즌"
"2010-04-22 18:30","목동","LG",3,1,"넥센","승","패","정규시즌"
"2010-04-22 18:30","대구","한화",6,1,"삼성","승","패","정규시즌"
"2010-04-22 18:30","사직","기아",1,4,"롯데","패","승","정규시즌"
"2010-04-23 18:30","잠실","한화",5,0,"LG","승","패","정규시즌"
"2010-04-23 18:30","목동","기아",3,4,"넥센","패","승","정규시즌"
"2010-04-23 18:30","문학","롯데",7,9,"SK","패","승","정규시즌"
"2010-04-23 18:30","대구","두산",7,9,"삼성","패","승","정규시즌"
"2010-04-24 17:00","잠실","한화",3,14,"LG","패","승","정규시즌"
"2010-04-24 17:00","목동","기아",1,2,"넥센","패","승","정규시즌"
"2010-04-24 17:00","문학","롯데",1,2,"SK","패","승","정규시즌"
"2010-04-24 17:00","대구","두산",3,2,"삼성","승","패","정규시즌"
"2010-04-25 14:00","대구","두산",8,4,"삼성","승","패","정규시즌"
"2010-04-25 17:00","잠실","한화",0,3,"LG","패","승","정규시즌"
"2010-04-25 17:00","목동","기아",6,4,"넥센","승","패","정규시즌"
"2010-04-25 17:00","문학","롯데",4,14,"SK","패","승","정규시즌"
"2010-04-27 18:30","대전","두산",14,5,"한화","승","패","정규시즌"
"2010-04-27 18:30","사직","넥센",2,10,"롯데","패","승","정규시즌"
"2010-04-27 18:30","무등","SK",4,0,"기아","승","패","정규시즌"
"2010-04-28 18:30","사직","넥센",5,6,"롯데","패","승","정규시즌"
"2010-04-29 18:30","잠실","삼성",3,2,"LG","승","패","정규시즌"
"2010-04-29 18:30","대전","두산",3,1,"한화","승","패","정규시즌"
"2010-04-29 18:30","사직","넥센",2,5,"롯데","패","승","정규시즌"
"2010-04-29 18:30","무등","SK",3,0,"기아","승","패","정규시즌"
"2010-04-30 18:30","잠실","넥센",5,12,"두산","패","승","정규시즌"
"2010-04-30 18:30","문학","LG",4,5,"SK","패","승","정규시즌"
"2010-04-30 18:30","대전","삼성",10,4,"한화","승","패","정규시즌"
"2010-04-30 18:30","사직","기아",8,4,"롯데","승","패","정규시즌"
"2010-05-01 17:00","잠실","넥센",11,3,"두산","승","패","정규시즌"
"2010-05-01 17:00","문학","LG",3,21,"SK","패","승","정규시즌"
"2010-05-01 17:00","대전","삼성",8,5,"한화","승","패","정규시즌"
"2010-05-01 17:00","사직","기아",15,7,"롯데","승","패","정규시즌"
"2010-05-02 16:40","사직","기아",4,5,"롯데","패","승","정규시즌"
"2010-05-02 17:00","잠실","넥센",11,3,"두산","승","패","정규시즌"
"2010-05-02 17:00","문학","LG",5,6,"SK","패","승","정규시즌"
"2010-05-02 17:00","대전","삼성",8,6,"한화","승","패","정규시즌"
"2010-05-04 18:30","잠실","두산",5,6,"LG","패","승","정규시즌"
"2010-05-04 18:30","문학","넥센",0,3,"SK","패","승","정규시즌"
"2010-05-04 18:30","대구","롯데",9,3,"삼성","승","패","정규시즌"
"2010-05-04 18:30","무등","한화",1,8,"기아","패","승","정규시즌"
"2010-05-05 14:00","잠실","두산",4,2,"LG","승","패","정규시즌"
"2010-05-05 14:00","문학","넥센",2,1,"SK","승","패","정규시즌"
"2010-05-05 14:00","대구","롯데",2,13,"삼성","패","승","정규시즌"
"2010-05-05 14:00","무등","한화",0,4,"기아","패","승","정규시즌"
"2010-05-06 18:30","잠실","두산",14,4,"LG","승","패","정규시즌"
"2010-05-06 18:30","문학","넥센",13,4,"SK","승","패","정규시즌"
"2010-05-06 18:30","대구","롯데",6,2,"삼성","승","패","정규시즌"
"2010-05-06 18:30","무등","한화",2,3,"기아","패","승","정규시즌"
"2010-05-07 18:30","잠실","기아",4,0,"LG","승","패","정규시즌"
"2010-05-07 18:30","목동","한화",2,6,"넥센","패","승","정규시즌"
"2010-05-07 18:30","대구","SK",3,6,"삼성","패","승","정규시즌"
"2010-05-07 18:30","사직","두산",7,13,"롯데","패","승","정규시즌"
"2010-05-08 17:00","잠실","기아",6,4,"LG","승","패","정규시즌"
"2010-05-08 17:00","목동","한화",5,0,"넥센","승","패","정규시즌"
"2010-05-08 17:00","대구","SK",9,3,"삼성","승","패","정규시즌"
"2010-05-08 17:00","사직","두산",1,11,"롯데","패","승","정규시즌"
