"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2017-03-14 13:00","대전","LG",9,9,"한화","무","무","시범경기"
"2017-03-14 13:00","대구","KT",9,1,"삼성","승","패","시범경기"
"2017-03-14 13:00","광주","두산",4,7,"기아","패","승","시범경기"
"2017-03-14 13:00","사직","SK",3,2,"롯데","승","패","시범경기"
"2017-03-14 13:00","마산","넥센",2,2,"NC","무","무","시범경기"
"2017-03-15 13:00","대전","LG",12,5,"한화","승","패","시범경기"
"2017-03-15 13:00","대구","KT",6,2,"삼성","승","패","시범경기"
"2017-03-15 13:00","광주","두산",4,2,"기아","승","패","시범경기"
"2017-03-15 13:00","사직","SK",2,7,"롯데","패","승","시범경기"
"2017-03-15 13:00","마산","넥센",1,1,"NC","무","무","시범경기"
"2017-03-16 13:00","대전","넥센",1,12,"한화","패","승","시범경기"
"2017-03-16 13:00","대구","LG",3,3,"삼성","무","무","시범경기"
"2017-03-16 13:00","광주","KT",8,5,"기아","승","패","시범경기"
"2017-03-16 13:00","사직","두산",5,5,"롯데","무","무","시범경기"
"2017-03-16 13:00","마산","SK",2,7,"NC","패","승","시범경기"
"2017-03-17 13:00","대전","넥센",7,8,"한화","패","승","시범경기"
"2017-03-17 13:00","대구","LG",8,0,"삼성","승","패","시범경기"
"2017-03-17 13:00","광주","KT",12,6,"기아","승","패","시범경기"
"2017-03-17 13:00","사직","두산",4,6,"롯데","패","승","시범경기"
"2017-03-17 13:00","마산","SK",5,5,"NC","무","무","시범경기"
"2017-03-18 13:00","고척","두산",11,5,"넥센","승","패","시범경기"
"2017-03-18 13:00","대전","KT",0,0,"한화","무","무","시범경기"
"2017-03-18 13:00","광주","SK",0,4,"기아","패","승","시범경기"
"2017-03-18 13:00","사직","LG",2,11,"롯데","패","승","시범경기"
"2017-03-18 13:00","마산","삼성",2,3,"NC","패","승","시범경기"
"2017-03-19 13:00","고척","두산",3,5,"넥센","패","승","시범경기"
"2017-03-19 13:00","대전","KT",9,1,"한화","승","패","시범경기"
"2017-03-19 13:00","광주","SK",7,4,"기아","승","패","시범경기"
"2017-03-19 13:00","사직","LG",2,3,"롯데","패","승","시범경기"
"2017-03-19 13:00","마산","삼성",5,0,"NC","승","패","시범경기"
"2017-03-21 13:00","고척","롯데",6,7,"넥센","패","승","시범경기"
"2017-03-21 13:00","문학","두산",6,4,"SK","승","패","시범경기"
"2017-03-21 13:00","광주","삼성",1,5,"기아","패","승","시범경기"
"2017-03-21 13:00","마산","한화",9,10,"NC","패","승","시범경기"
"2017-03-21 17:00","잠실","KT",3,1,"LG","승","패","시범경기"
"2017-03-22 13:00","고척","롯데",8,8,"넥센","무","무","시범경기"
"2017-03-22 13:00","문학","두산",7,7,"SK","무","무","시범경기"
"2017-03-22 13:00","광주","삼성",3,4,"기아","패","승","시범경기"
"2017-03-22 13:00","마산","한화",7,4,"NC","승","패","시범경기"
"2017-03-22 17:00","잠실","KT",5,7,"LG","패","승","시범경기"
"2017-03-23 13:00","고척","KT",9,15,"넥센","패","승","시범경기"
"2017-03-23 13:00","잠실","삼성",2,9,"두산","패","승","시범경기"
"2017-03-23 13:00","문학","LG",2,3,"SK","패","승","시범경기"
"2017-03-23 13:00","대전","기아",3,6,"한화","패","승","시범경기"
"2017-03-23 13:00","사직","NC",9,2,"롯데","승","패","시범경기"
"2017-03-24 13:00","고척","KT",2,4,"넥센","패","승","시범경기"
"2017-03-24 13:00","잠실","삼성",2,5,"두산","패","승","시범경기"
"2017-03-24 13:00","문학","LG",10,6,"SK","승","패","시범경기"
"2017-03-24 13:00","대전","기아",2,3,"한화","패","승","시범경기"
"2017-03-24 13:00","사직","NC",3,0,"롯데","승","패","시범경기"
"2017-03-25 13:00","고척","삼성",7,6,"넥센","승","패","시범경기"
"2017-03-25 13:00","잠실","LG",1,2,"두산","패","승","시범경기"
"2017-03-25 13:00","문학","한화",3,4,"SK","패","승","시범경기"
"2017-03-25 13:00","사직","KT",6,3,"롯데","승","패","시범경기"
"2017-03-26 13:00","고척","삼성",6,8,"넥센","패","승","시범경기"
"2017-03-26 13:00","잠실","두산",4,5,"LG","패","승","시범경기"
"2017-03-26 13:00","문학","한화",5,4,"SK","승","패","시범경기"
"2017-03-26 13:00","광주","NC",4,5,"기아","패","승","시범경기"
"2017-03-31 19:00","고척","LG",2,1,"넥센","승","패","정규시즌"
"2017-03-31 19:00","잠실","한화",0,3,"두산","패","승","정규시즌"
"2017-03-31 19:00","문학","KT",3,2,"SK","승","패","정규시즌"
"2017-03-31 19:00","대구","기아",7,2,"삼성","승","패","정규시즌"
"2017-03-31 19:00","마산","롯데",5,6,"NC","패","승","정규시즌"
"2017-04-01 14:00","고척","LG",8,3,"넥센","승","패","정규시즌"
"2017-04-01 14:00","잠실","한화",6,5,"두산","승","패","정규시즌"
"2017-04-01 14:00","대구","기아",9,7,"삼성","승","패","정규시즌"
"2017-04-01 17:00","문학","KT",2,0,"SK","승","패","정규시즌"
"2017-04-01 17:00","마산","롯데",3,0,"NC","승","패","정규시즌"
"2017-04-02 14:00","고척","LG",9,2,"넥센","승","패","정규시즌"
"2017-04-02 14:00","잠실","한화",4,5,"두산","패","승","정규시즌"
"2017-04-02 14:00","문학","KT",8,1,"SK","승","패","정규시즌"
"2017-04-02 14:00","대구","기아",3,16,"삼성","패","승","정규시즌"
"2017-04-02 14:00","마산","롯데",12,4,"NC","승","패","정규시즌"
"2017-04-04 18:30","잠실","삼성",0,11,"LG","패","승","정규시즌"
"2017-04-04 18:30","대전","NC",0,6,"한화","패","승","정규시즌"
"2017-04-04 18:30","광주","SK",1,6,"기아","패","승","정규시즌"
"2017-04-04 18:30","사직","넥센",2,5,"롯데","패","승","정규시즌"
"2017-04-04 19:00","수원","두산",2,0,"KT","승","패","정규시즌"
"2017-04-06 18:30","잠실","삼성",0,4,"LG","패","승","정규시즌"
"2017-04-06 18:30","대전","NC",5,2,"한화","승","패","정규시즌"
"2017-04-06 18:30","광주","SK",4,6,"기아","패","승","정규시즌"
"2017-04-06 18:30","사직","넥센",3,12,"롯데","패","승","정규시즌"
"2017-04-06 18:30","수원","두산",1,5,"KT","패","승","정규시즌"
"2017-04-07 18:30","잠실","넥센",7,3,"두산","승","패","정규시즌"
"2017-04-07 18:30","문학","NC",5,3,"SK","승","패","정규시즌"
"2017-04-07 18:30","광주","한화",2,4,"기아","패","승","정규시즌"
"2017-04-07 18:30","사직","LG",6,4,"롯데","승","패","정규시즌"
"2017-04-07 18:30","수원","삼성",2,3,"KT","패","승","정규시즌"
"2017-04-08 17:00","잠실","넥센",13,10,"두산","승","패","정규시즌"
"2017-04-08 17:00","문학","NC",2,9,"SK","패","승","정규시즌"
"2017-04-08 17:00","광주","한화",4,3,"기아","승","패","정규시즌"
"2017-04-08 17:00","사직","LG",6,8,"롯데","패","승","정규시즌"
"2017-04-08 17:00","수원","삼성",0,1,"KT","패","승","정규시즌"
"2017-04-09 14:00","잠실","넥센",13,2,"두산","승","패","정규시즌"
"2017-04-09 14:00","문학","NC",5,8,"SK","패","승","정규시즌"
"2017-04-09 14:00","광주","한화",2,3,"기아","패","승","정규시즌"
"2017-04-09 14:00","사직","LG",1,7,"롯데","패","승","정규시즌"
"2017-04-09 14:00","수원","삼성",0,3,"KT","패","승","정규시즌"
"2017-04-11 18:30","고척","KT",2,12,"넥센","패","승","정규시즌"
"2017-04-11 18:30","잠실","기아",4,16,"두산","패","승","정규시즌"
"2017-04-11 18:30","문학","롯데",6,4,"SK","승","패","정규시즌"
"2017-04-11 18:30","대구","한화",11,8,"삼성","승","패","정규시즌"
"2017-04-11 18:30","마산","LG",3,4,"NC","패","승","정규시즌"
"2017-04-12 18:30","고척","KT",3,5,"넥센","패","승","정규시즌"
"2017-04-12 18:30","잠실","기아",8,4,"두산","승","패","정규시즌"
"2017-04-12 18:30","문학","롯데",1,2,"SK","패","승","정규시즌"
"2017-04-12 18:30","대구","한화",5,3,"삼성","승","패","정규시즌"
"2017-04-12 18:30","마산","LG",0,5,"NC","패","승","정규시즌"
"2017-04-13 18:30","고척","KT",7,6,"넥센","승","패","정규시즌"
"2017-04-13 18:30","잠실","기아",4,3,"두산","승","패","정규시즌"
"2017-04-13 18:30","문학","롯데",10,11,"SK","패","승","정규시즌"
"2017-04-13 18:30","대구","한화",1,5,"삼성","패","승","정규시즌"
"2017-04-13 18:30","마산","LG",1,3,"NC","패","승","정규시즌"
"2017-04-14 18:30","잠실","KT",2,5,"LG","패","승","정규시즌"
"2017-04-14 18:30","대전","SK",6,2,"한화","승","패","정규시즌"
"2017-04-14 18:30","광주","넥센",2,3,"기아","패","승","정규시즌"
"2017-04-14 18:30","사직","삼성",6,9,"롯데","패","승","정규시즌"
"2017-04-14 18:30","마산","두산",10,6,"NC","승","패","정규시즌"
"2017-04-15 17:00","잠실","KT",1,0,"LG","승","패","정규시즌"
"2017-04-15 17:00","대전","SK",12,4,"한화","승","패","정규시즌"
"2017-04-15 17:00","광주","넥센",2,5,"기아","패","승","정규시즌"
