날짜,시간,경기,구장,비고,경기날짜및시간,원정팀,원정팀_점수,홈팀_점수,홈팀,비고.1,비고.2,홈팀_결과,원정팀_결과
03.09(토),13:00,LG 4vs4 삼성,대구,-,2013-03-09 13:00,LG,4,4,삼성,,시범경기,무,무
,13:00,SK 1vs2 롯데,사직,-,2013-03-09 13:00,SK,1,2,롯데,,시범경기,승,패
,13:00,한화 3vs13 KIA,무등,-,2013-03-09 13:00,한화,3,13,KIA,,시범경기,승,패
,13:00,넥센 6vs1 NC,마산,-,2013-03-09 13:00,넥센,6,1,NC,,시범경기,패,승
03.10(일),13:00,LG 9vs6 삼성,대구,-,2013-03-10 13:00,LG,9,6,삼성,,시범경기,패,승
,13:00,SK 6vs3 롯데,사직,-,2013-03-10 13:00,SK,6,3,롯데,,시범경기,패,승
,13:00,한화 1vs4 KIA,무등,-,2013-03-10 13:00,한화,1,4,KIA,,시범경기,승,패
,13:00,넥센 4vs7 NC,마산,-,2013-03-10 13:00,넥센,4,7,NC,,시범경기,승,패
03.12(화),13:00,두산 3vs1 삼성,대구,-,2013-03-12 13:00,두산,3,1,삼성,,시범경기,패,승
,13:00,넥센 4vs2 롯데,사직,-,2013-03-12 13:00,넥센,4,2,롯데,,시범경기,패,승
,13:00,SK 1vs6 KIA,무등,-,2013-03-12 13:00,SK,1,6,KIA,,시범경기,승,패
,13:00,LG 2vs4 NC,마산,-,2013-03-12 13:00,LG,2,4,NC,,시범경기,승,패
03.13(수),13:00,두산 vs 삼성,대구,우천취소,2013-03-13 13:00,두산,NA,NA,삼성,경기 없는 날,시범경기,NA,NA
,13:00,넥센 vs 롯데,사직,우천취소,2013-03-13 13:00,넥센,NA,NA,롯데,경기 없는 날,시범경기,NA,NA
,13:00,SK vs KIA,무등,우천취소,2013-03-13 13:00,SK,NA,NA,KIA,경기 없는 날,시범경기,NA,NA
,13:00,LG 4vs0 NC,마산,-,2013-03-13 13:00,LG,4,0,NC,,시범경기,패,승
