"경기날짜및시간","구장","원정팀","원정팀점수","홈팀점수","홈팀","비고"
"2011-03-12 13:00","대전","LG",6,4,"한화","시범경기"
"2011-03-12 13:00","대구","두산",6,1,"삼성","시범경기"
"2011-03-12 13:00","사직","SK",5,11,"롯데","시범경기"
"2011-03-12 13:00","제주","KIA",4,3,"넥센","시범경기"
"2011-03-13 12:00","대구","두산",3,1,"삼성","시범경기"
"2011-03-13 13:00","대전","LG",11,10,"한화","시범경기"
"2011-03-13 13:00","사직","SK",5,1,"롯데","시범경기"
"2011-03-13 13:00","제주","KIA",3,4,"넥센","시범경기"
"2011-03-15 13:00","잠실","KIA",2,0,"LG","시범경기"
"2011-03-15 13:00","대전","SK",2,5,"한화","시범경기"
"2011-03-15 13:00","대구","넥센",6,2,"삼성","시범경기"
"2011-03-15 13:00","사직","두산",1,8,"롯데","시범경기"
"2011-03-16 13:00","잠실","KIA",0,11,"LG","시범경기"
"2011-03-16 13:00","대전","SK",4,5,"한화","시범경기"
"2011-03-16 13:00","대구","넥센",4,5,"삼성","시범경기"
"2011-03-16 13:00","사직","두산",3,6,"롯데","시범경기"
"2011-03-17 13:00","잠실","한화",3,12,"두산","시범경기"
"2011-03-17 13:00","문학","KIA",4,5,"SK","시범경기"
"2011-03-17 13:00","대구","LG",4,1,"삼성","시범경기"
"2011-03-17 13:00","사직","넥센",4,8,"롯데","시범경기"
"2011-03-18 13:00","잠실","한화",7,2,"두산","시범경기"
"2011-03-18 13:00","문학","KIA",8,0,"SK","시범경기"
"2011-03-18 13:00","대구","LG",5,6,"삼성","시범경기"
"2011-03-18 13:00","사직","넥센",3,2,"롯데","시범경기"
"2011-03-19 13:00","잠실","SK",5,1,"두산","시범경기"
"2011-03-19 13:00","목동","LG",10,1,"넥센","시범경기"
"2011-03-19 13:00","대전","롯데",2,3,"한화","시범경기"
"2011-03-19 13:00","대구","KIA",1,6,"삼성","시범경기"
"2011-03-22 13:00","잠실","넥센",16,3,"두산","시범경기"
"2011-03-22 13:00","문학","LG",9,8,"SK","시범경기"
"2011-03-22 13:00","대전","삼성",2,3,"한화","시범경기"
"2011-03-22 13:00","사직","KIA",6,5,"롯데","시범경기"
"2011-03-23 13:00","잠실","넥센",1,5,"두산","시범경기"
"2011-03-23 13:00","문학","LG",3,4,"SK","시범경기"
"2011-03-23 13:00","대전","삼성",9,4,"한화","시범경기"
"2011-03-23 13:00","사직","KIA",1,3,"롯데","시범경기"
"2011-03-24 13:00","잠실","롯데",4,2,"LG","시범경기"
"2011-03-24 13:00","목동","한화",1,2,"넥센","시범경기"
"2011-03-24 13:00","문학","삼성",14,5,"SK","시범경기"
"2011-03-24 13:00","무등","두산",2,1,"KIA","시범경기"
"2011-03-25 13:00","잠실","롯데",4,5,"LG","시범경기"
"2011-03-26 13:00","잠실","두산",3,2,"LG","시범경기"
"2011-03-26 13:00","문학","넥센",5,4,"SK","시범경기"
"2011-03-26 13:00","대구","롯데",4,1,"삼성","시범경기"
"2011-03-26 13:00","무등","한화",1,6,"KIA","시범경기"
"2011-03-27 13:00","잠실","두산",5,4,"LG","시범경기"
"2011-03-27 13:00","문학","넥센",8,4,"SK","시범경기"
"2011-03-27 13:00","대구","롯데",4,0,"삼성","시범경기"
"2011-03-27 13:00","무등","한화",0,1,"KIA","시범경기"
"2011-04-02 14:00","잠실","LG",0,4,"두산","정규시즌"
"2011-04-02 14:00","문학","넥센",0,2,"SK","정규시즌"
"2011-04-02 14:00","사직","한화",0,6,"롯데","정규시즌"
"2011-04-02 14:00","무등","삼성",6,2,"KIA","정규시즌"
"2011-04-03 14:00","잠실","LG",7,0,"두산","정규시즌"
"2011-04-03 14:00","문학","넥센",3,5,"SK","정규시즌"
"2011-04-03 14:00","사직","한화",3,1,"롯데","정규시즌"
"2011-04-03 14:00","무등","삼성",8,9,"KIA","정규시즌"
"2011-04-05 18:30","잠실","SK",6,5,"LG","정규시즌"
"2011-04-05 18:30","목동","두산",3,4,"넥센","정규시즌"
"2011-04-05 18:30","대전","KIA",9,1,"한화","정규시즌"
"2011-04-05 18:30","대구","롯데",10,3,"삼성","정규시즌"
"2011-04-06 18:30","잠실","SK",5,6,"LG","정규시즌"
"2011-04-06 18:30","목동","두산",5,2,"넥센","정규시즌"
"2011-04-06 18:30","대전","KIA",9,10,"한화","정규시즌"
"2011-04-06 18:30","대구","롯데",0,1,"삼성","정규시즌"
"2011-04-08 18:30","잠실","KIA",6,10,"두산","정규시즌"
"2011-04-08 18:30","목동","롯데",0,3,"넥센","정규시즌"
"2011-04-08 18:30","문학","삼성",1,3,"SK","정규시즌"
"2011-04-08 18:30","대전","LG",8,4,"한화","정규시즌"
"2011-04-09 17:00","잠실","KIA",9,10,"두산","정규시즌"
"2011-04-09 17:00","목동","롯데",6,12,"넥센","정규시즌"
"2011-04-09 17:00","문학","삼성",4,5,"SK","정규시즌"
"2011-04-09 17:00","대전","LG",11,2,"한화","정규시즌"
"2011-04-10 17:00","잠실","KIA",8,0,"두산","정규시즌"
"2011-04-10 17:00","목동","롯데",5,1,"넥센","정규시즌"
"2011-04-10 17:00","문학","삼성",9,4,"SK","정규시즌"
"2011-04-10 17:00","대전","LG",9,4,"한화","정규시즌"
"2011-04-12 18:30","잠실","삼성",5,1,"LG","정규시즌"
"2011-04-12 18:30","문학","한화",1,6,"SK","정규시즌"
"2011-04-12 18:30","사직","두산",4,4,"롯데","정규시즌"
"2011-04-12 18:30","무등","넥센",3,7,"KIA","정규시즌"
"2011-04-13 18:30","잠실","삼성",3,4,"LG","정규시즌"
"2011-04-13 18:30","문학","한화",8,9,"SK","정규시즌"
"2011-04-13 18:30","사직","두산",10,2,"롯데","정규시즌"
"2011-04-13 18:30","무등","넥센",6,0,"KIA","정규시즌"
"2011-04-14 18:30","잠실","삼성",5,1,"LG","정규시즌"
"2011-04-14 18:30","문학","한화",1,5,"SK","정규시즌"
"2011-04-14 18:30","사직","두산",7,6,"롯데","정규시즌"
"2011-04-14 18:30","무등","넥센",3,6,"KIA","정규시즌"
"2011-04-15 18:30","잠실","롯데",2,8,"LG","정규시즌"
"2011-04-15 18:30","목동","SK",2,1,"넥센","정규시즌"
"2011-04-15 18:30","대구","두산",1,2,"삼성","정규시즌"
"2011-04-15 18:30","무등","한화",4,9,"KIA","정규시즌"
"2011-04-16 17:00","잠실","롯데",3,4,"LG","정규시즌"
"2011-04-16 17:00","목동","SK",7,5,"넥센","정규시즌"
"2011-04-16 17:00","대구","두산",3,2,"삼성","정규시즌"
"2011-04-16 17:00","무등","한화",4,3,"KIA","정규시즌"
"2011-04-17 17:00","잠실","롯데",4,1,"LG","정규시즌"
"2011-04-17 17:00","목동","SK",4,5,"넥센","정규시즌"
"2011-04-17 17:00","대구","두산",4,5,"삼성","정규시즌"
"2011-04-17 17:00","무등","한화",1,8,"KIA","정규시즌"
"2011-04-19 18:30","잠실","넥센",0,2,"두산","정규시즌"
"2011-04-19 18:30","문학","LG",3,6,"SK","정규시즌"
"2011-04-19 18:30","대전","롯데",2,2,"한화","정규시즌"
"2011-04-19 18:30","대구","KIA",0,8,"삼성","정규시즌"
"2011-04-20 18:30","잠실","넥센",3,7,"두산","정규시즌"
"2011-04-20 18:30","문학","LG",9,4,"SK","정규시즌"
"2011-04-20 18:30","대전","롯데",2,4,"한화","정규시즌"
"2011-04-20 18:30","대구","KIA",3,0,"삼성","정규시즌"
"2011-04-21 18:10","문학","LG",1,5,"SK","정규시즌"
"2011-04-21 18:30","잠실","넥센",1,8,"두산","정규시즌"
"2011-04-21 18:30","대전","롯데",1,4,"한화","정규시즌"
"2011-04-21 18:30","대구","KIA",3,4,"삼성","정규시즌"
"2011-04-22 18:30","잠실","KIA",1,2,"LG","정규시즌"
"2011-04-22 18:30","목동","삼성",2,3,"넥센","정규시즌"
