"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2017-03-14 13:00","대전","LG",9,9,"한화","시범경기"
"2017-03-14 13:00","대구","kt",9,1,"삼성","시범경기"
"2017-03-14 13:00","광주","두산",4,7,"기아","시범경기"
"2017-03-14 13:00","사직","SK",3,2,"롯데","시범경기"
"2017-03-14 13:00","마산","넥센",2,2,"NC","시범경기"
"2017-03-15 13:00","대전","kt",6,5,"한화","시범경기"
"2017-03-15 13:00","대구","두산",4,2,"삼성","시범경기"
"2017-03-15 13:00","광주","SK",2,2,"기아","시범경기"
"2017-03-15 13:00","사직","넥센",1,7,"롯데","시범경기"
"2017-03-15 13:00","마산","LG",12,1,"NC","시범경기"
"2017-03-16 13:00","대전","넥센",1,3,"삼성","시범경기"
"2017-03-16 13:00","대구","LG",3,5,"기아","시범경기"
"2017-03-16 13:00","광주","kt",8,5,"롯데","시범경기"
"2017-03-16 13:00","사직","두산",5,7,"NC","시범경기"
"2017-03-16 13:00","마산","SK",2,12,"한화","시범경기"
"2017-03-17 13:00","대전","넥센",7,8,"한화","시범경기"
"2017-03-17 13:00","대구","LG",8,0,"삼성","시범경기"
"2017-03-17 13:00","광주","두산",4,6,"기아","시범경기"
"2017-03-17 13:00","사직","SK",5,6,"롯데","시범경기"
"2017-03-17 13:00","마산","kt",12,5,"NC","시범경기"
"2017-03-18 13:00","고척","kt",0,5,"넥센","시범경기"
"2017-03-18 13:00","대전","SK",0,0,"한화","시범경기"
"2017-03-18 13:00","광주","LG",2,4,"기아","시범경기"
"2017-03-18 13:00","사직","삼성",2,3,"NC","시범경기"
"2017-03-18 13:00","마산","두산",11,11,"롯데","시범경기"
"2017-03-19 13:00","고척","두산",3,5,"넥센","시범경기"
"2017-03-19 13:00","대전","kt",9,1,"한화","시범경기"
"2017-03-19 13:00","광주","SK",7,4,"기아","시범경기"
"2017-03-19 13:00","사직","LG",2,3,"롯데","시범경기"
"2017-03-19 13:00","마산","삼성",5,0,"NC","시범경기"
"2017-03-21 13:00","고척","롯데",6,7,"넥센","시범경기"
"2017-03-21 13:00","문학","두산",6,4,"SK","시범경기"
"2017-03-21 13:00","광주","삼성",1,5,"기아","시범경기"
"2017-03-21 13:00","마산","한화",9,10,"NC","시범경기"
"2017-03-21 17:00","잠실","kt",3,1,"LG","시범경기"
"2017-03-22 13:00","고척","롯데",8,8,"넥센","시범경기"
"2017-03-22 13:00","문학","두산",7,7,"SK","시범경기"
"2017-03-22 13:00","광주","삼성",3,4,"기아","시범경기"
"2017-03-22 13:00","마산","한화",7,4,"NC","시범경기"
"2017-03-22 17:00","잠실","kt",5,7,"LG","시범경기"
"2017-03-23 13:00","고척","kt",9,9,"두산","시범경기"
"2017-03-23 13:00","잠실","삼성",2,3,"SK","시범경기"
"2017-03-23 13:00","문학","LG",2,6,"한화","시범경기"
"2017-03-23 13:00","대전","기아",3,2,"롯데","시범경기"
"2017-03-23 13:00","사직","NC",9,15,"넥센","시범경기"
"2017-03-24 13:00","고척","kt",2,4,"넥센","시범경기"
"2017-03-24 13:00","잠실","삼성",2,5,"두산","시범경기"
"2017-03-24 13:00","문학","기아",2,6,"SK","시범경기"
"2017-03-24 13:00","대전","NC",3,3,"한화","시범경기"
"2017-03-24 13:00","사직","LG",10,0,"롯데","시범경기"
"2017-03-25 13:00","고척","삼성",7,6,"넥센","시범경기"
"2017-03-25 13:00","잠실","LG",1,2,"두산","시범경기"
"2017-03-25 13:00","문학","한화",3,4,"SK","시범경기"
"2017-03-25 13:00","사직","kt",6,3,"롯데","시범경기"
"2017-03-26 13:00","고척","삼성",6,8,"넥센","시범경기"
"2017-03-26 13:00","잠실","두산",4,5,"LG","시범경기"
"2017-03-26 13:00","문학","한화",5,4,"SK","시범경기"
"2017-03-26 13:00","광주","NC",4,5,"기아","시범경기"
"2017-03-31 19:00","고척","LG",2,1,"넥센","정규시즌"
"2017-03-31 19:00","잠실","한화",0,3,"두산","정규시즌"
"2017-03-31 19:00","문학","kt",3,2,"SK","정규시즌"
"2017-03-31 19:00","대구","기아",7,2,"삼성","정규시즌"
"2017-03-31 19:00","마산","롯데",5,6,"NC","정규시즌"
"2017-04-01 14:00","고척","LG",8,3,"넥센","정규시즌"
"2017-04-01 14:00","잠실","한화",6,5,"두산","정규시즌"
"2017-04-01 14:00","대구","기아",9,7,"삼성","정규시즌"
"2017-04-01 17:00","문학","kt",2,0,"SK","정규시즌"
"2017-04-01 17:00","마산","롯데",3,0,"NC","정규시즌"
"2017-04-02 14:00","고척","LG",9,2,"넥센","정규시즌"
"2017-04-02 14:00","잠실","한화",4,5,"두산","정규시즌"
"2017-04-02 14:00","문학","kt",8,1,"SK","정규시즌"
"2017-04-02 14:00","대구","기아",3,4,"NC","정규시즌"
"2017-04-02 14:00","마산","롯데",12,16,"삼성","정규시즌"
"2017-04-04 18:30","잠실","삼성",0,6,"한화","정규시즌"
"2017-04-04 18:30","대전","NC",0,6,"기아","정규시즌"
"2017-04-04 18:30","광주","SK",1,5,"롯데","정규시즌"
"2017-04-04 18:30","사직","넥센",2,11,"LG","정규시즌"
"2017-04-04 19:00","수원","두산",2,0,"kt","정규시즌"
"2017-04-06 18:30","잠실","삼성",0,4,"LG","정규시즌"
"2017-04-06 18:30","대전","NC",5,2,"한화","정규시즌"
"2017-04-06 18:30","광주","SK",4,6,"기아","정규시즌"
"2017-04-06 18:30","사직","넥센",3,5,"kt","정규시즌"
"2017-04-06 18:30","수원","두산",1,12,"롯데","정규시즌"
"2017-04-07 18:30","잠실","넥센",7,3,"두산","정규시즌"
"2017-04-07 18:30","문학","NC",5,3,"SK","정규시즌"
"2017-04-07 18:30","광주","한화",2,4,"기아","정규시즌"
"2017-04-07 18:30","사직","LG",6,4,"롯데","정규시즌"
"2017-04-07 18:30","수원","삼성",2,3,"kt","정규시즌"
