"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2018-03-13 13:00","대전","넥센",5,4,"한화","시범경기"
"2018-03-13 13:00","광주","두산",4,5,"기아","시범경기"
"2018-03-13 13:00","사직","LG",4,3,"롯데","시범경기"
"2018-03-13 13:00","마산","SK",8,4,"NC","시범경기"
"2018-03-13 13:00","수원","삼성",2,3,"KT","시범경기"
"2018-03-14 13:00","대전","넥센",5,2,"기아","시범경기"
"2018-03-14 13:00","광주","두산",5,2,"롯데","시범경기"
"2018-03-14 13:00","사직","LG",4,1,"NC","시범경기"
"2018-03-14 13:00","마산","SK",6,9,"KT","시범경기"
"2018-03-14 13:00","수원","삼성",4,13,"한화","시범경기"
"2018-03-16 13:00","대전","KT",6,4,"한화","시범경기"
"2018-03-16 13:00","대구","SK",7,1,"삼성","시범경기"
"2018-03-16 13:00","광주","넥센",3,4,"기아","시범경기"
"2018-03-16 13:00","사직","두산",5,9,"롯데","시범경기"
"2018-03-16 13:00","마산","LG",1,2,"NC","시범경기"
"2018-03-17 13:00","잠실","LG",5,9,"두산","시범경기"
"2018-03-17 13:00","문학","넥센",4,8,"SK","시범경기"
"2018-03-17 13:00","대전","NC",3,4,"한화","시범경기"
"2018-03-17 13:00","대구","기아",11,4,"삼성","시범경기"
"2018-03-17 13:00","수원","롯데",17,10,"KT","시범경기"
"2018-03-18 13:00","문학","넥센",3,3,"SK","시범경기"
"2018-03-18 13:00","대전","NC",1,2,"한화","시범경기"
"2018-03-18 13:00","대구","기아",8,5,"삼성","시범경기"
"2018-03-18 13:00","수원","롯데",3,4,"KT","시범경기"
"2018-03-18 14:00","잠실","두산",1,4,"LG","시범경기"
"2018-03-20 13:00","고척","LG",5,3,"넥센","시범경기"
"2018-03-20 13:00","잠실","한화",2,1,"SK","시범경기"
"2018-03-20 13:00","문학","KT",5,14,"두산","시범경기"
"2018-03-20 17:00","대구","NC",4,7,"삼성","시범경기"
"2018-03-21 13:00","고척","LG",1,10,"넥센","시범경기"
"2018-03-24 14:00","고척","한화",3,6,"넥센","정규시즌"
"2018-03-24 14:00","잠실","삼성",6,3,"두산","정규시즌"
"2018-03-24 14:00","문학","롯데",5,6,"SK","정규시즌"
"2018-03-24 14:00","광주","KT",5,4,"기아","정규시즌"
"2018-03-24 14:00","마산","LG",2,4,"NC","정규시즌"
"2018-03-25 14:00","고척","한화",4,1,"넥센","정규시즌"
"2018-03-25 14:00","잠실","삼성",4,5,"두산","정규시즌"
"2018-03-25 14:00","문학","롯데",0,5,"SK","정규시즌"
"2018-03-25 14:00","광주","KT",1,7,"NC","정규시즌"
"2018-03-25 14:00","마산","LG",1,14,"기아","정규시즌"
"2018-03-27 18:30","고척","LG",4,5,"넥센","정규시즌"
"2018-03-27 18:30","잠실","롯데",0,5,"두산","정규시즌"
"2018-03-27 18:30","문학","KT",5,8,"SK","정규시즌"
"2018-03-27 18:30","광주","삼성",0,9,"NC","정규시즌"
"2018-03-27 18:30","마산","한화",6,17,"기아","정규시즌"
"2018-03-28 18:30","고척","LG",9,3,"넥센","정규시즌"
"2018-03-28 18:30","잠실","롯데",5,6,"두산","정규시즌"
"2018-03-28 18:30","문학","KT",8,5,"SK","정규시즌"
"2018-03-28 18:30","광주","삼성",6,0,"기아","정규시즌"
