"날짜","시간","경기","구장","비고","경기날짜및시간","원정팀","원정팀_점수","홈팀_점수","홈팀","비고.1","비고.2","홈팀_결과","원정팀_결과"
"03.08(화)","13:00","넥센 2vs4 한화","대전","-","2016-03-08 13:00","넥센",2,4,"한화","","시범경기","승","패"
"","13:00","LG vs KIA","광주","우천취소","2016-03-08 13:00","LG",NA,NA,"KIA","경기 없는 날","시범경기",NA,NA
"","13:00","삼성 5vs3 NC","마산","-","2016-03-08 13:00","삼성",5,3,"NC","","시범경기","패","승"
"","13:00","두산 5vs5 kt","수원","-","2016-03-08 13:00","두산",5,5,"kt","","시범경기","무","무"
"","13:00","SK 6vs6 롯데","울산","-","2016-03-08 13:00","SK",6,6,"롯데","","시범경기","무","무"
"03.09(수)","13:00","넥센 1vs3 한화","대전","-","2016-03-09 13:00","넥센",1,3,"한화","","시범경기","승","패"
"","13:00","LG 3vs0 KIA","광주","-","2016-03-09 13:00","LG",3,0,"KIA","","시범경기","패","승"
"","13:00","삼성 10vs1 NC","마산","-","2016-03-09 13:00","삼성",10,1,"NC","","시범경기","패","승"
"","13:00","두산 4vs2 kt","수원","-","2016-03-09 13:00","두산",4,2,"kt","","시범경기","패","승"
"","13:00","SK 2vs3 롯데","울산","-","2016-03-09 13:00","SK",2,3,"롯데","","시범경기","승","패"
"03.10(목)","13:00","두산 7vs12 한화","대전","-","2016-03-10 13:00","두산",7,12,"한화","","시범경기","승","패"
"","13:00","SK 4vs3 KIA","광주","-","2016-03-10 13:00","SK",4,3,"KIA","","시범경기","패","승"
"","13:00","LG 6vs4 NC","마산","-","2016-03-10 13:00","LG",6,4,"NC","","시범경기","패","승"
"","13:00","넥센 vs kt","수원","한파취소","2016-03-10 13:00","넥센",NA,NA,"kt","경기 없는 날","시범경기",NA,NA
"","13:00","삼성 10vs5 롯데","울산","-","2016-03-10 13:00","삼성",10,5,"롯데","","시범경기","패","승"
"03.11(금)","13:00","두산 vs 한화","대전","한파취소","2016-03-11 13:00","두산",NA,NA,"한화","경기 없는 날","시범경기",NA,NA
"","13:00","SK vs KIA","광주","한파취소","2016-03-11 13:00","SK",NA,NA,"KIA","경기 없는 날","시범경기",NA,NA
"","13:00","LG 4vs3 NC","마산","-","2016-03-11 13:00","LG",4,3,"NC","","시범경기","패","승"
"","13:00","넥센 vs kt","수원","한파취소","2016-03-11 13:00","넥센",NA,NA,"kt","경기 없는 날","시범경기",NA,NA
